iteration,chain,sigma,Kmat_pred_ksi,mu_pred
248,3,6.03571,140.237,135.185
249,3,5.22021,134.591,135.185
250,3,5.22021,126.561,135.185
1,4,6.05328,135.638,135.185
2,4,5.35398,122.749,135.185
3,4,5.42786,135.081,135.185
4,4,6.44938,120.152,135.185
5,4,5.35405,132.289,135.185
6,4,5.73485,127.142,135.185
7,4,5.76454,142.751,135.185
8,4,4.32541,136.53,135.185
9,4,4.74178,136.363,135.185
10,4,5.89251,132.749,135.185
11,4,5.19566,135.296,135.185
12,4,6.7483,148.045,135.185
13,4,6.54311,130.585,135.185
14,4,6.39572,131.428,135.185
15,4,4.8605,138.553,135.185
16,4,4.9877,134.92,135.185
17,4,4.74416,138.141,135.185
18,4,4.24651,136.699,135.185
19,4,4.51131,130.636,135.185
20,4,7.2122,141.056,135.185
21,4,7.23577,133.586,135.185
22,4,7.71438,132.629,135.185
23,4,6.52579,136.767,135.185
24,4,5.30544,135.487,135.185
25,4,6.1595,126.214,135.185
26,4,6.33271,144.086,135.185
27,4,6.53534,135.154,135.185
28,4,7.1018,131.215,135.185
29,4,7.49132,132.799,135.185
30,4,7.14464,131.352,135.185
31,4,7.10683,127.597,135.185
32,4,6.98155,143.936,135.185
33,4,6.71016,136.491,135.185
34,4,6.7116,132.699,135.185
35,4,5.84603,135.191,135.185
36,4,6.39129,115.003,135.185
37,4,5.832,133.78,135.185
38,4,6.55348,136.878,135.185
39,4,6.64376,125.369,135.185
40,4,6.96613,146.656,135.185
41,4,5.59689,146.023,135.185
42,4,5.74279,128.833,135.185
43,4,5.97324,135.105,135.185
44,4,5.50467,124.752,135.185
45,4,6.05613,140.712,135.185
46,4,5.26192,133.241,135.185
47,4,5.01243,132.583,135.185
48,4,4.84191,133.52,135.185
49,4,4.96403,139.398,135.185
50,4,5.01256,130.681,135.185
51,4,4.79751,128.703,135.185
52,4,6.10347,126.266,135.185
53,4,5.30107,131.164,135.185
54,4,5.11244,137.35,135.185
55,4,4.95798,132.409,135.185
56,4,4.98477,133.908,135.185
57,4,6.06006,122.325,135.185
58,4,5.73142,133.933,135.185
59,4,4.99301,129.522,135.185
60,4,4.87258,138.813,135.185
